Buurten,Nederlandse herkomst,Jeugd 0-17 jaar,65 jaar en ouder %,eenoudergezinnen,Eenpersoonshuishoudens,Werk & inkomen 2024,Financiële kwetsbaarheid 2024,Zorggebruik en gezondheid 2024,Mentale gezondheid,Sociale binding 2024,Objectieve veiligheid 2024,Subjectieve veiligheid 2024,Overlast_straat,Bedreiging_geweld,Inbraak_woning,Meldingen_jeugd,Aantal woningen per ha,Percentage corporatie woningen,Percentage groen,haalt groenvoorziening binnen 10 minuten,Vervuiling,Ervaring vervuiling
Min,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.5,-3,-3.5,-3.5,-3.5,-3.5,0,0,0,-3,-3,-3
Max,3,3,3,3,3,3,3,3,3,3,3.5,3,3.5,3.5,3.5,3.5,200,100,100,3,3,3
Achtse Barrier-Gunterslaer,0.97,0.40,0.49,0.30,-1.41,-0.46,-0.41,-0.23,-0.89,-0.07,-0.04,-0.86,-0.45,-0.29,-0.39,2.39,15.65,19,37.39,0.66,-0.10,-0.62
Achtse Barrier-Hoeven,0.88,0.33,0.67,0.30,-1.02,-0.11,-0.16,0.63,-0.58,0.42,-1.11,-0.51,-0.70,-1.04,-1.18,-0.30,23.41,34,42.36,0.41,0.10,0.63
Achtse Barrier-Spaaihoef,1.41,0.57,0.49,-0.61,-1.53,-0.99,-0.60,-0.25,-1.22,-0.32,-0.94,-0.86,-0.73,-0.92,-0.77,0.15,18.58,7,50.4,0.41,0.51,-0.74
Barrier,0.03,0.05,-0.07,0.61,-0.13,0.10,0.60,0.64,0.17,0.71,0.05,0.08,-0.35,-0.62,0.64,-0.03,35.15,39,17.84,-1.40,-0.12,-1.48
BeA2,,,,,,,,,,,,,,,,,0.03,0,91.34,,,
Beemden,,,,,,,,,,,,,,,,,0.00,0,74.23,,,
Bennekel-Oost,-0.90,-0.40,-0.40,0.30,0.26,0.52,1.17,0.67,0.71,1.01,0.45,1.00,0.64,0.13,-0.59,0.89,27.88,50,51.69,-0.41,-0.30,-1.31
Bennekel-West Gagelbosch,-0.27,-0.45,1.21,0.30,-0.06,0.77,1.07,1.35,0.35,1.01,-0.19,1.00,-0.47,0.00,-0.34,0.79,27.89,47,43,-0.41,-0.03,-1.31
Bergen,-0.91,-1.63,-0.99,-1.22,0.96,-0.98,0.60,-1.66,0.08,0.42,4.13,1.12,5.36,0.55,0.03,0.64,48.65,9,27.17,-1.81,1.53,0.12
Binnenstad,-1.38,-2.06,-0.89,-1.52,1.60,-0.33,0.57,-1.22,0.44,0.79,34.34,1.35,44.62,19.67,20.18,7.14,35.50,21,12.34,-0.82,2.41,0.75
Blaarthem,-0.66,-0.24,-0.30,0.91,0.32,1.07,0.47,0.13,0.95,0.55,0.69,0.79,0.74,0.07,-0.79,0.91,36.58,52,17.9,-0.99,0.30,-0.06
Blixembosch-Oost,0.66,0.86,-0.54,-0.30,-1.85,-1.29,-1.03,-0.95,-1.34,-0.59,-0.79,-1.05,-0.77,-0.81,-0.80,1.31,16.85,4,49.9,-0.16,-0.06,-0.34
Blixembosch-West,1.25,0.34,0.75,-0.91,-2.11,-1.17,-1.07,-0.77,-1.59,-0.59,-1.00,-1.05,-0.66,-0.83,-1.18,-0.01,10.55,0,67.22,-0.16,-0.40,-0.34
Bloemenplein,-0.37,-0.64,-0.60,-0.30,0.77,0.19,1.20,-0.11,0.49,0.24,0.16,-0.39,0.28,-0.24,-0.43,-0.34,50.77,36,6.63,0.33,-0.06,0.69
Bokt,,,,,,,,,,,,,,,,,0.27,5,85.46,,,
Bosrijk,0.66,1.98,-1.16,,-1.92,-1.65,-0.91,-1.09,-1.47,-0.40,-0.12,-1.14,-0.63,-0.89,1.02,0.99,6.71,0,82.13,0.08,0.34,0.00
Burghplan,-0.55,0.19,-0.44,0.91,0.00,0.63,0.56,0.17,0.53,0.25,0.45,0.00,-0.05,0.32,0.21,1.53,29.57,49,38.87,0.66,-0.28,0.01
Castiliëlaan,,,,,,,,,,,,,,,,,3.50,61,85.76,,,
Doornakkers-Oost,-0.40,0.17,0.17,0.91,0.19,1.68,1.18,0.86,1.04,0.81,0.21,0.26,-0.46,-0.39,0.53,1.73,28.53,72,30.34,-2.14,-0.12,1.43
Doornakkers-West,-0.14,-0.14,-0.31,0.00,0.13,0.50,1.04,0.27,0.37,0.81,-0.08,0.26,0.10,-0.55,-0.22,0.68,24.15,41,29.52,-2.14,0.34,1.43
Drents Dorp,0.03,0.67,-0.55,1.83,0.00,1.38,0.48,1.42,0.90,0.49,-0.12,-0.46,-0.36,1.03,-0.75,-0.88,29.90,75,37.3,-0.41,0.14,-0.56
Driehoeksbos,1.59,-0.46,2.31,-1.22,-1.73,-0.89,-0.39,0.32,-1.53,-0.01,1.21,-0.65,1.14,0.77,0.35,1.28,5.27,20,39.27,-0.49,-0.23,-0.01
